side,rank,cum_share
human,1,0.16417910447761194
human,2,0.23347547974413646
human,3,0.27611940298507465
human,4,0.3091684434968017
human,5,0.3304904051172708
human,6,0.35181236673773986
human,7,0.373134328358209
human,8,0.39125799573560766
human,9,0.4093816631130064
human,10,0.4232409381663113
human,11,0.43603411513859275
human,12,0.4488272921108742
human,13,0.4616204690831556
human,14,0.47334754797441364
human,15,0.4840085287846482
human,16,0.4936034115138593
human,17,0.5031982942430704
human,18,0.5127931769722814
human,19,0.5223880597014925
human,20,0.5319829424307037
human,21,0.5415778251599147
human,22,0.5501066098081023
human,23,0.55863539445629
human,24,0.5671641791044776
human,25,0.5746268656716418
human,26,0.582089552238806
human,27,0.5895522388059702
human,28,0.5970149253731343
human,29,0.6044776119402985
human,30,0.6119402985074627
human,31,0.6183368869936035
human,32,0.6247334754797441
human,33,0.6311300639658849
human,34,0.6375266524520256
human,35,0.6439232409381663
human,36,0.650319829424307
human,37,0.6567164179104478
human,38,0.6631130063965884
human,39,0.6684434968017058
human,40,0.673773987206823
human,41,0.6791044776119403
human,42,0.6844349680170576
human,43,0.6897654584221748
human,44,0.6950959488272921
human,45,0.7004264392324094
human,46,0.7057569296375267
human,47,0.7100213219616205
human,48,0.7142857142857143
human,49,0.7185501066098081
human,50,0.7228144989339019
human,51,0.7270788912579957
human,52,0.7313432835820896
human,53,0.7356076759061834
human,54,0.7398720682302772
human,55,0.744136460554371
human,56,0.7484008528784648
human,57,0.7526652452025586
human,58,0.7569296375266524
human,59,0.7611940298507462
human,60,0.7654584221748401
human,61,0.7686567164179104
human,62,0.7718550106609808
human,63,0.7750533049040512
human,64,0.7782515991471215
human,65,0.7814498933901919
human,66,0.7846481876332623
human,67,0.7878464818763327
human,68,0.7910447761194029
human,69,0.7942430703624733
human,70,0.7974413646055437
human,71,0.8006396588486141
human,72,0.8038379530916845
human,73,0.8070362473347548
human,74,0.8102345415778252
human,75,0.8134328358208955
human,76,0.8166311300639659
human,77,0.8198294243070362
human,78,0.8219616204690832
human,79,0.82409381663113
human,80,0.826226012793177
human,81,0.8283582089552238
human,82,0.8304904051172708
human,83,0.8326226012793176
human,84,0.8347547974413646
human,85,0.8368869936034116
human,86,0.8390191897654584
human,87,0.8411513859275054
human,88,0.8432835820895522
human,89,0.8454157782515992
human,90,0.847547974413646
human,91,0.849680170575693
human,92,0.8518123667377399
human,93,0.8539445628997868
human,94,0.8560767590618337
human,95,0.8582089552238806
human,96,0.8603411513859275
human,97,0.8624733475479744
human,98,0.8646055437100213
human,99,0.8667377398720683
human,100,0.8688699360341151
human,101,0.8710021321961621
human,102,0.8731343283582089
human,103,0.8752665245202559
human,104,0.8773987206823027
human,105,0.8795309168443497
human,106,0.8816631130063965
human,107,0.8837953091684435
human,108,0.8859275053304904
human,109,0.8880597014925373
human,110,0.8901918976545842
human,111,0.8923240938166311
human,112,0.894456289978678
human,113,0.896588486140725
human,114,0.8987206823027718
human,115,0.9008528784648188
human,116,0.9029850746268657
human,117,0.9051172707889126
human,118,0.9072494669509595
human,119,0.9093816631130064
human,120,0.9104477611940298
human,121,0.9115138592750534
human,122,0.9125799573560768
human,123,0.9136460554371002
human,124,0.9147121535181236
human,125,0.9157782515991472
human,126,0.9168443496801706
human,127,0.917910447761194
human,128,0.9189765458422174
human,129,0.920042643923241
human,130,0.9211087420042644
human,131,0.9221748400852878
human,132,0.9232409381663113
human,133,0.9243070362473348
human,134,0.9253731343283582
human,135,0.9264392324093816
human,136,0.9275053304904051
human,137,0.9285714285714286
human,138,0.929637526652452
human,139,0.9307036247334755
human,140,0.9317697228144989
human,141,0.9328358208955224
human,142,0.9339019189765458
human,143,0.9349680170575693
human,144,0.9360341151385928
human,145,0.9371002132196162
human,146,0.9381663113006397
human,147,0.9392324093816631
human,148,0.9402985074626866
human,149,0.94136460554371
human,150,0.9424307036247335
human,151,0.9434968017057569
human,152,0.9445628997867804
human,153,0.9456289978678039
human,154,0.9466950959488273
human,155,0.9477611940298507
human,156,0.9488272921108742
human,157,0.9498933901918977
human,158,0.9509594882729211
human,159,0.9520255863539445
human,160,0.9530916844349681
human,161,0.9541577825159915
human,162,0.9552238805970149
human,163,0.9562899786780383
human,164,0.9573560767590619
human,165,0.9584221748400853
human,166,0.9594882729211087
human,167,0.9605543710021321
human,168,0.9616204690831557
human,169,0.9626865671641791
human,170,0.9637526652452025
human,171,0.964818763326226
human,172,0.9658848614072495
human,173,0.9669509594882729
human,174,0.9680170575692963
human,175,0.9690831556503199
human,176,0.9701492537313433
human,177,0.9712153518123667
human,178,0.9722814498933902
human,179,0.9733475479744137
human,180,0.9744136460554371
human,181,0.9754797441364605
human,182,0.976545842217484
human,183,0.9776119402985075
human,184,0.9786780383795309
human,185,0.9797441364605544
human,186,0.9808102345415778
human,187,0.9818763326226013
human,188,0.9829424307036247
human,189,0.9840085287846482
human,190,0.9850746268656716
human,191,0.9861407249466951
human,192,0.9872068230277186
human,193,0.988272921108742
human,194,0.9893390191897654
human,195,0.990405117270789
human,196,0.9914712153518124
human,197,0.9925373134328358
human,198,0.9936034115138592
human,199,0.9946695095948828
human,200,0.9957356076759062
human,201,0.9968017057569296
human,202,0.997867803837953
human,203,0.9989339019189766
human,204,1.0
ai,1,0.13910186199342825
ai,2,0.23548740416210295
ai,3,0.2792990142387733
ai,4,0.32201533406352684
ai,5,0.3614457831325301
ai,6,0.3964950711938664
ai,7,0.4304490690032859
ai,8,0.4611171960569551
ai,9,0.49069003285870755
ai,10,0.52026286966046
ai,11,0.5487404162102957
ai,12,0.5772179627601315
ai,13,0.5980284775465499
ai,14,0.6188389923329682
ai,15,0.6374589266155531
ai,16,0.6527929901423878
ai,17,0.6670317634173056
ai,18,0.6812705366922235
ai,19,0.6933187294633077
ai,20,0.7053669222343921
ai,21,0.7163198247535597
ai,22,0.7261774370208105
ai,23,0.7349397590361446
ai,24,0.7437020810514786
ai,25,0.7524644030668127
ai,26,0.76013143483023
ai,27,0.7677984665936474
ai,28,0.7754654983570646
ai,29,0.7831325301204819
ai,30,0.7907995618838992
ai,31,0.7984665936473165
ai,32,0.8050383351588171
ai,33,0.8116100766703176
ai,34,0.8181818181818182
ai,35,0.8247535596933188
ai,36,0.8313253012048193
ai,37,0.8378970427163198
ai,38,0.8433734939759037
ai,39,0.8488499452354874
ai,40,0.8543263964950711
ai,41,0.859802847754655
ai,42,0.864184008762322
ai,43,0.8685651697699891
ai,44,0.872946330777656
ai,45,0.8773274917853231
ai,46,0.8817086527929902
ai,47,0.8860898138006572
ai,48,0.8893756845564075
ai,49,0.8926615553121577
ai,50,0.895947426067908
ai,51,0.8992332968236583
ai,52,0.9025191675794085
ai,53,0.9058050383351588
ai,54,0.9090909090909091
ai,55,0.9123767798466593
ai,56,0.9156626506024096
ai,57,0.9178532311062432
ai,58,0.9200438116100766
ai,59,0.9222343921139102
ai,60,0.9244249726177437
ai,61,0.9266155531215772
ai,62,0.9288061336254108
ai,63,0.9309967141292442
ai,64,0.9331872946330778
ai,65,0.9353778751369113
ai,66,0.9375684556407448
ai,67,0.9397590361445783
ai,68,0.9419496166484118
ai,69,0.9441401971522454
ai,70,0.9463307776560789
ai,71,0.9485213581599123
ai,72,0.9507119386637459
ai,73,0.9518072289156626
ai,74,0.9529025191675794
ai,75,0.9539978094194962
ai,76,0.9550930996714129
ai,77,0.9561883899233297
ai,78,0.9572836801752465
ai,79,0.9583789704271632
ai,80,0.9594742606790799
ai,81,0.9605695509309967
ai,82,0.9616648411829135
ai,83,0.9627601314348302
ai,84,0.963855421686747
ai,85,0.9649507119386638
ai,86,0.9660460021905805
ai,87,0.9671412924424972
ai,88,0.968236582694414
ai,89,0.9693318729463308
ai,90,0.9704271631982475
ai,91,0.9715224534501643
ai,92,0.9726177437020811
ai,93,0.9737130339539978
ai,94,0.9748083242059146
ai,95,0.9759036144578314
ai,96,0.976998904709748
ai,97,0.9780941949616648
ai,98,0.9791894852135816
ai,99,0.9802847754654983
ai,100,0.9813800657174151
ai,101,0.9824753559693319
ai,102,0.9835706462212487
ai,103,0.9846659364731654
ai,104,0.9857612267250822
ai,105,0.9868565169769989
ai,106,0.9879518072289156
ai,107,0.9890470974808324
ai,108,0.9901423877327492
ai,109,0.9912376779846659
ai,110,0.9923329682365827
ai,111,0.9934282584884995
ai,112,0.9945235487404163
ai,113,0.9956188389923329
ai,114,0.9967141292442497
ai,115,0.9978094194961665
ai,116,0.9989047097480832
ai,117,1.0
