word,human_count,ai_count,log2_ai_over_human,tier,in_figure
awful,12,0,-4.60488312724357,1,True
crap,7,0,-3.8679175330773643,0,True
horrible,6,0,-3.661466655609938,1,True
worthy,5,0,-3.420458556106143,1,True
unknown,5,0,-3.420458556106143,1,True
erotic,5,0,-3.420458556106143,2,True
loving,4,0,-3.130951938911158,1,True
content,4,0,-3.130951938911158,1,True
delight,4,0,-3.130951938911158,1,True
united,4,0,-3.130951938911158,1,True
shame,4,0,-3.130951938911158,1,True
spite,4,0,-3.130951938911158,1,True
upset,3,0,-2.7683818595264493,1,True
unfortunate,17,2,-2.7683818595264493,1,True
triumph,3,0,-2.7683818595264493,1,False
hate,3,0,-2.7683818595264493,1,False
uninteresting,3,0,-2.7683818595264493,3,False
rage,3,0,-2.7683818595264493,1,False
suffering,3,0,-2.7683818595264493,1,False
lust,3,0,-2.7683818595264493,2,False
concerned,3,0,-2.7683818595264493,1,False
insult,3,0,-2.7683818595264493,1,False
grateful,3,0,-2.7683818595264493,0,False
dislike,3,0,-2.7683818595264493,1,False
angry,9,1,-2.6239919501912747,1,False
happy,8,1,-2.4635272779980286,1,False
love,154,27,-2.4511302518485603,1,False
crazy,7,1,-2.282955032356208,1,False
compassion,2,0,-2.282955032356208,1,False
excited,2,0,-2.282955032356208,1,False
abandoned,2,0,-2.282955032356208,1,False
berserk,2,0,-2.282955032356208,3,False
petty,2,0,-2.282955032356208,0,False
reluctant,2,0,-2.282955032356208,2,False
ashamed,2,0,-2.282955032356208,1,False
miserable,2,0,-2.282955032356208,1,False
humble,2,0,-2.282955032356208,1,False
enchanted,2,0,-2.282955032356208,2,False
loath,2,0,-2.282955032356208,3,False
pathetic,2,0,-2.282955032356208,1,False
pleased,2,0,-2.282955032356208,1,False
tender,2,0,-2.282955032356208,1,False
sensual,2,0,-2.282955032356208,2,False
horrified,2,0,-2.282955032356208,2,False
neglect,2,0,-2.282955032356208,2,False
woeful,2,0,-2.282955032356208,3,False
passion,7,1,-2.282955032356208,1,False
trash,2,0,-2.282955032356208,0,False
frantic,2,0,-2.282955032356208,2,False
hopeful,2,0,-2.282955032356208,2,False
disgust,2,0,-2.282955032356208,2,False
raging,2,0,-2.282955032356208,2,False
dismay,2,0,-2.282955032356208,2,False
accomplished,2,0,-2.282955032356208,1,False
delighted,2,0,-2.282955032356208,1,False
disappointment,2,0,-2.282955032356208,1,False
unsatisfied,2,0,-2.282955032356208,3,False
assured,2,0,-2.282955032356208,1,False
guilty,2,0,-2.282955032356208,1,False
humiliation,2,0,-2.282955032356208,2,False
sad,20,4,-2.148653940644617,0,False
inspired,5,1,-1.8354960553849868,1,False
worry,5,1,-1.8354960553849868,1,False
afraid,5,1,-1.8354960553849868,1,False
desire,8,2,-1.7265616838318225,1,False
disappointed,8,2,-1.7265616838318225,1,False
jealousy,4,1,-1.545989438190002,2,False
affection,4,1,-1.545989438190002,1,False
excitement,4,1,-1.545989438190002,1,False
pleasure,4,1,-1.545989438190002,1,False
powerless,1,0,-1.5459894381900017,2,False
bitterness,1,0,-1.5459894381900017,2,False
hysterical,1,0,-1.5459894381900017,2,False
jealous,1,0,-1.5459894381900017,1,False
disgruntled,1,0,-1.5459894381900017,3,False
inferior,1,0,-1.5459894381900017,2,False
worthless,1,0,-1.5459894381900017,2,False
crazed,1,0,-1.5459894381900017,3,False
furious,1,0,-1.5459894381900017,1,False
averse,1,0,-1.5459894381900017,3,False
amazement,1,0,-1.5459894381900017,3,False
delusional,1,0,-1.5459894381900017,2,False
squeamish,1,0,-1.5459894381900017,3,False
unfaithful,1,0,-1.5459894381900017,3,False
helpless,1,0,-1.5459894381900017,2,False
cheery,1,0,-1.5459894381900017,3,False
suicidal,1,0,-1.5459894381900017,2,False
cheerful,1,0,-1.5459894381900017,2,False
dubious,1,0,-1.5459894381900017,2,False
distress,1,0,-1.5459894381900017,1,False
frenetic,1,0,-1.5459894381900017,3,False
alarm,1,0,-1.5459894381900017,1,False
alienation,1,0,-1.5459894381900017,2,False
pity,1,0,-1.5459894381900017,1,False
wrecked,1,0,-1.5459894381900017,2,False
unwelcome,1,0,-1.5459894381900017,3,False
peaceful,1,0,-1.5459894381900017,1,False
depressed,1,0,-1.5459894381900017,1,False
faithful,1,0,-1.5459894381900017,1,False
annoyed,1,0,-1.5459894381900017,0,False
panic,1,0,-1.5459894381900017,1,False
resentful,1,0,-1.5459894381900017,3,False
gloom,1,0,-1.5459894381900017,2,False
stunned,1,0,-1.5459894381900017,2,False
contempt,1,0,-1.5459894381900017,2,False
outrage,1,0,-1.5459894381900017,2,False
grumpy,1,0,-1.5459894381900017,2,False
faithless,1,0,-1.5459894381900017,3,False
sour,1,0,-1.5459894381900017,2,False
triggered,1,0,-1.5459894381900017,0,False
eager,1,0,-1.5459894381900017,1,False
unhappy,1,0,-1.5459894381900017,1,False
morbid,1,0,-1.5459894381900017,2,False
hardened,1,0,-1.5459894381900017,2,False
abysmal,1,0,-1.5459894381900017,3,False
cringe,1,0,-1.5459894381900017,0,False
zealous,1,0,-1.5459894381900017,3,False
annoyance,1,0,-1.5459894381900017,2,False
uneasiness,1,0,-1.5459894381900017,3,False
mournful,1,0,-1.5459894381900017,3,False
radiant,1,0,-1.5459894381900017,2,False
hopeless,1,0,-1.5459894381900017,2,False
disconnected,1,0,-1.5459894381900017,2,False
unimportant,1,0,-1.5459894381900017,2,False
vengeful,1,0,-1.5459894381900017,3,False
torment,1,0,-1.5459894381900017,2,False
cheerfulness,1,0,-1.5459894381900017,3,False
hope,31,11,-1.414744904911749,1,False
joy,6,2,-1.3395385607225754,1,False
patient,3,1,-1.1834193588052935,1,False
relief,3,1,-1.1834193588052935,1,False
passionate,3,1,-1.1834193588052935,1,False
alive,7,3,-1.06056261101976,1,False
bad,65,32,-0.972082125977841,1,False
lost,12,6,-0.904443409102478,1,False
confused,4,2,-0.8090238440237956,0,False
haunted,9,5,-0.7495228322751336,2,False
attraction,2,1,-0.6979925316350516,1,False
caring,2,1,-0.6979925316350516,1,False
sympathy,2,1,-0.6979925316350516,1,False
melancholy,2,1,-0.6979925316350516,2,False
cross,5,3,-0.6131036340485386,1,False
animated,6,4,-0.49154165416762513,1,False
nervous,3,2,-0.4464537646390872,1,False
sweet,6,5,-0.20203503697264036,1,False
silly,9,8,-0.12149160966209177,1,False
horror,40,39,0.0029038078236327883,1,False
gloomy,1,1,0.03897306253115447,2,False
grim,1,1,0.03897306253115447,2,False
pride,2,2,0.03897306253115447,1,False
anger,3,3,0.03897306253115447,1,False
terror,2,2,0.03897306253115447,1,False
suspicious,1,1,0.03897306253115447,1,False
charmed,1,1,0.03897306253115447,2,False
proud,1,1,0.03897306253115447,1,False
frustration,1,1,0.03897306253115447,1,False
enjoyment,1,1,0.03897306253115447,2,False
amusement,1,1,0.03897306253115447,2,False
mad,6,6,0.03897306253115447,1,False
regret,2,2,0.03897306253115447,1,False
sentimentality,1,1,0.03897306253115447,3,False
entertained,1,1,0.03897306253115447,2,False
romantic,13,13,0.03897306253115447,1,False
hurt,4,4,0.03897306253115447,1,False
guilt,2,2,0.03897306253115447,1,False
anxiety,1,1,0.03897306253115447,1,False
anxious,1,1,0.03897306253115447,1,False
scared,2,2,0.03897306253115447,0,False
guarded,1,1,0.03897306253115447,2,False
shock,17,19,0.19509226444843644,1,False
wild,7,8,0.21954530817297527,1,False
glad,6,7,0.24542393999858078,1,False
interested,12,14,0.25309786788400224,1,False
surprise,9,11,0.3146075051445818,1,False
dark,20,26,0.40934151247627004,1,False
fear,5,7,0.48643203950237585,1,False
miss,20,28,0.5143110720778125,0,False
sympathetic,2,3,0.5243998897013963,2,False
thrill,4,7,0.7759386566973606,2,False
hollow,1,2,0.7759386566973607,1,False
insecurity,1,2,0.7759386566973607,2,False
convinced,1,2,0.7759386566973607,1,False
alone,9,17,0.9203285660325353,0,False
creepy,6,13,1.093420846553531,0,False
intimate,2,5,1.1764765862810895,1,False
romance,11,26,1.2433315610373408,1,False
lonely,1,3,1.2613654838676025,1,False
worn,1,3,1.2613654838676025,1,False
frustrated,1,3,1.2613654838676025,1,False
embarrassment,0,1,1.6239355632523107,2,False
confident,1,4,1.6239355632523107,1,False
unnatural,0,1,1.6239355632523107,2,False
happiness,0,1,1.6239355632523107,1,False
unlucky,0,1,1.6239355632523107,2,False
protected,0,1,1.6239355632523107,1,False
weary,0,1,1.6239355632523107,2,False
lonesome,0,1,1.6239355632523107,3,False
somber,0,1,1.6239355632523107,3,False
misery,0,1,1.6239355632523107,1,False
alien,0,1,1.6239355632523107,1,False
unsettled,0,1,1.6239355632523107,2,False
insecure,0,1,1.6239355632523107,2,False
distracted,0,1,1.6239355632523107,2,False
unforgiving,0,1,1.6239355632523107,3,False
prepared,1,5,1.9134421804472956,1,False
surprised,10,40,1.9865056426370191,1,False
sadness,1,6,2.1544502799510905,1,False
dread,1,6,2.1544502799510905,2,False
uneasy,1,6,2.1544502799510905,2,False
longing,0,2,2.360901157418517,2,False
suffocating,0,2,2.360901157418517,3,False
grief,1,7,2.360901157418517,1,False
appreciate,6,36,2.5283579032700794,0,False
playful,1,8,2.541473403060338,2,False
curious,4,27,2.6504077746135017,0,True
engaged,1,9,2.701938075253584,1,True
whimsical,0,3,2.8463279845887586,3,True
safe,0,3,2.8463279845887586,1,True
sincere,1,10,2.8463279845887586,2,True
awkward,3,31,3.208898063973467,0,True
isolated,0,4,3.208898063973467,1,True
isolation,0,4,3.208898063973467,1,True
quiet,7,88,3.5996880170056333,1,True
loneliness,0,6,3.7394127806722466,2,True
mood,9,127,3.785398985946427,0,True
committed,0,7,3.945863658139673,1,True
melancholic,0,7,3.945863658139673,3,True
moody,0,19,5.324375281393403,2,True
